"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"01000","01","000","Alabama","Livestock and poultry \ Cattle and calves inventory (number)",1236467
"01001","01","001","Alabama\Autauga","Livestock and poultry \ Cattle and calves inventory (number)",14996
"01003","01","003","Alabama\Baldwin","Livestock and poultry \ Cattle and calves inventory (number)",19758
"01005","01","005","Alabama\Barbour","Livestock and poultry \ Cattle and calves inventory (number)",17369
"01007","01","007","Alabama\Bibb","Livestock and poultry \ Cattle and calves inventory (number)",5493
"01009","01","009","Alabama\Blount","Livestock and poultry \ Cattle and calves inventory (number)",33675
"01011","01","011","Alabama\Bullock","Livestock and poultry \ Cattle and calves inventory (number)",8688
"01013","01","013","Alabama\Butler","Livestock and poultry \ Cattle and calves inventory (number)",8261
"01015","01","015","Alabama\Calhoun","Livestock and poultry \ Cattle and calves inventory (number)",12932
"01017","01","017","Alabama\Chambers","Livestock and poultry \ Cattle and calves inventory (number)",17003
"01019","01","019","Alabama\Cherokee","Livestock and poultry \ Cattle and calves inventory (number)",13316
"01021","01","021","Alabama\Chilton","Livestock and poultry \ Cattle and calves inventory (number)",12121
"01023","01","023","Alabama\Choctaw","Livestock and poultry \ Cattle and calves inventory (number)",3383
"01025","01","025","Alabama\Clarke","Livestock and poultry \ Cattle and calves inventory (number)",3877
"01027","01","027","Alabama\Clay","Livestock and poultry \ Cattle and calves inventory (number)",17132
"01029","01","029","Alabama\Cleburne","Livestock and poultry \ Cattle and calves inventory (number)",9293
"01031","01","031","Alabama\Coffee","Livestock and poultry \ Cattle and calves inventory (number)",22719
"01033","01","033","Alabama\Colbert","Livestock and poultry \ Cattle and calves inventory (number)",20706
"01035","01","035","Alabama\Conecuh","Livestock and poultry \ Cattle and calves inventory (number)",8789
"01037","01","037","Alabama\Coosa","Livestock and poultry \ Cattle and calves inventory (number)",2803
"01039","01","039","Alabama\Covington","Livestock and poultry \ Cattle and calves inventory (number)",26691
"01041","01","041","Alabama\Crenshaw","Livestock and poultry \ Cattle and calves inventory (number)",27323
"01043","01","043","Alabama\Cullman","Livestock and poultry \ Cattle and calves inventory (number)",56915
"01045","01","045","Alabama\Dale","Livestock and poultry \ Cattle and calves inventory (number)",9775
"01047","01","047","Alabama\Dallas","Livestock and poultry \ Cattle and calves inventory (number)",20685
"01049","01","049","Alabama\DeKalb","Livestock and poultry \ Cattle and calves inventory (number)",55881
"01051","01","051","Alabama\Elmore","Livestock and poultry \ Cattle and calves inventory (number)",9453
"01053","01","053","Alabama\Escambia","Livestock and poultry \ Cattle and calves inventory (number)",12840
"01055","01","055","Alabama\Etowah","Livestock and poultry \ Cattle and calves inventory (number)",18952
"01057","01","057","Alabama\Fayette","Livestock and poultry \ Cattle and calves inventory (number)",7297
"01059","01","059","Alabama\Franklin","Livestock and poultry \ Cattle and calves inventory (number)",27445
"01061","01","061","Alabama\Geneva","Livestock and poultry \ Cattle and calves inventory (number)",27557
"01063","01","063","Alabama\Greene","Livestock and poultry \ Cattle and calves inventory (number)",10019
"01065","01","065","Alabama\Hale","Livestock and poultry \ Cattle and calves inventory (number)",23378
"01067","01","067","Alabama\Henry","Livestock and poultry \ Cattle and calves inventory (number)",13886
"01069","01","069","Alabama\Houston","Livestock and poultry \ Cattle and calves inventory (number)",19249
