"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"01000","01","000","Alabama","Livestock and poultry \ Sheep and lambs inventory (number)",21114
"01001","01","001","Alabama\Autauga","Livestock and poultry \ Sheep and lambs inventory (number)",298
"01003","01","003","Alabama\Baldwin","Livestock and poultry \ Sheep and lambs inventory (number)",145
"01005","01","005","Alabama\Barbour","Livestock and poultry \ Sheep and lambs inventory (number)",168
"01007","01","007","Alabama\Bibb","Livestock and poultry \ Sheep and lambs inventory (number)",97
"01009","01","009","Alabama\Blount","Livestock and poultry \ Sheep and lambs inventory (number)",295
"01011","01","011","Alabama\Bullock","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01013","01","013","Alabama\Butler","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01015","01","015","Alabama\Calhoun","Livestock and poultry \ Sheep and lambs inventory (number)",75
"01017","01","017","Alabama\Chambers","Livestock and poultry \ Sheep and lambs inventory (number)",69
"01019","01","019","Alabama\Cherokee","Livestock and poultry \ Sheep and lambs inventory (number)",1113
"01021","01","021","Alabama\Chilton","Livestock and poultry \ Sheep and lambs inventory (number)",388
"01023","01","023","Alabama\Choctaw","Livestock and poultry \ Sheep and lambs inventory (number)",163
"01025","01","025","Alabama\Clarke","Livestock and poultry \ Sheep and lambs inventory (number)",259
"01027","01","027","Alabama\Clay","Livestock and poultry \ Sheep and lambs inventory (number)",39
"01029","01","029","Alabama\Cleburne","Livestock and poultry \ Sheep and lambs inventory (number)",98
"01031","01","031","Alabama\Coffee","Livestock and poultry \ Sheep and lambs inventory (number)",166
"01033","01","033","Alabama\Colbert","Livestock and poultry \ Sheep and lambs inventory (number)",501
"01035","01","035","Alabama\Conecuh","Livestock and poultry \ Sheep and lambs inventory (number)",289
"01037","01","037","Alabama\Coosa","Livestock and poultry \ Sheep and lambs inventory (number)",78
"01039","01","039","Alabama\Covington","Livestock and poultry \ Sheep and lambs inventory (number)",722
"01041","01","041","Alabama\Crenshaw","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01043","01","043","Alabama\Cullman","Livestock and poultry \ Sheep and lambs inventory (number)",329
"01045","01","045","Alabama\Dale","Livestock and poultry \ Sheep and lambs inventory (number)",297
"01047","01","047","Alabama\Dallas","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01049","01","049","Alabama\DeKalb","Livestock and poultry \ Sheep and lambs inventory (number)",530
"01051","01","051","Alabama\Elmore","Livestock and poultry \ Sheep and lambs inventory (number)",133
"01053","01","053","Alabama\Escambia","Livestock and poultry \ Sheep and lambs inventory (number)",165
"01055","01","055","Alabama\Etowah","Livestock and poultry \ Sheep and lambs inventory (number)",330
"01057","01","057","Alabama\Fayette","Livestock and poultry \ Sheep and lambs inventory (number)",23
"01059","01","059","Alabama\Franklin","Livestock and poultry \ Sheep and lambs inventory (number)",904
"01061","01","061","Alabama\Geneva","Livestock and poultry \ Sheep and lambs inventory (number)",376
"01063","01","063","Alabama\Greene","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01065","01","065","Alabama\Hale","Livestock and poultry \ Sheep and lambs inventory (number)",86
"01067","01","067","Alabama\Henry","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01069","01","069","Alabama\Houston","Livestock and poultry \ Sheep and lambs inventory (number)",175
"01071","01","071","Alabama\Jackson","Livestock and poultry \ Sheep and lambs inventory (number)",2085
"01073","01","073","Alabama\Jefferson","Livestock and poultry \ Sheep and lambs inventory (number)",209
"01075","01","075","Alabama\Lamar","Livestock and poultry \ Sheep and lambs inventory (number)",195
"01077","01","077","Alabama\Lauderdale","Livestock and poultry \ Sheep and lambs inventory (number)",1137
"01079","01","079","Alabama\Lawrence","Livestock and poultry \ Sheep and lambs inventory (number)",428
"01081","01","081","Alabama\Lee","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01083","01","083","Alabama\Limestone","Livestock and poultry \ Sheep and lambs inventory (number)",460
"01085","01","085","Alabama\Lowndes","Livestock and poultry \ Sheep and lambs inventory (number)",253
"01087","01","087","Alabama\Macon","Livestock and poultry \ Sheep and lambs inventory (number)",90
"01089","01","089","Alabama\Madison","Livestock and poultry \ Sheep and lambs inventory (number)",807
"01091","01","091","Alabama\Marengo","Livestock and poultry \ Sheep and lambs inventory (number)",17
"01093","01","093","Alabama\Marion","Livestock and poultry \ Sheep and lambs inventory (number)",65
"01095","01","095","Alabama\Marshall","Livestock and poultry \ Sheep and lambs inventory (number)",454
"01097","01","097","Alabama\Mobile","Livestock and poultry \ Sheep and lambs inventory (number)",501
"01099","01","099","Alabama\Monroe","Livestock and poultry \ Sheep and lambs inventory (number)","-"
"01101","01","101","Alabama\Montgomery","Livestock and poultry \ Sheep and lambs inventory (number)",143
"01103","01","103","Alabama\Morgan","Livestock and poultry \ Sheep and lambs inventory (number)",2019
"01105","01","105","Alabama\Perry","Livestock and poultry \ Sheep and lambs inventory (number)",78
"01107","01","107","Alabama\Pickens","Livestock and poultry \ Sheep and lambs inventory (number)",256
"01109","01","109","Alabama\Pike","Livestock and poultry \ Sheep and lambs inventory (number)",76
"01111","01","111","Alabama\Randolph","Livestock and poultry \ Sheep and lambs inventory (number)",121
"01113","01","113","Alabama\Russell","Livestock and poultry \ Sheep and lambs inventory (number)",589
"01115","01","115","Alabama\St. Clair","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"01117","01","117","Alabama\Shelby","Livestock and poultry \ Sheep and lambs inventory (number)",140
"01119","01","119","Alabama\Sumter","Livestock and poultry \ Sheep and lambs inventory (number)",865
"01121","01","121","Alabama\Talladega","Livestock and poultry \ Sheep and lambs inventory (number)",472
"01123","01","123","Alabama\Tallapoosa","Livestock and poultry \ Sheep and lambs inventory (number)",130
"01125","01","125","Alabama\Tuscaloosa","Livestock and poultry \ Sheep and lambs inventory (number)",18
"01127","01","127","Alabama\Walker","Livestock and poultry \ Sheep and lambs inventory (number)",192
"01129","01","129","Alabama\Washington","Livestock and poultry \ Sheep and lambs inventory (number)",84
"01131","01","131","Alabama\Wilcox","Livestock and poultry \ Sheep and lambs inventory (number)",34
"01133","01","133","Alabama\Winston","Livestock and poultry \ Sheep and lambs inventory (number)",161
"02000","02","000","Alaska","Livestock and poultry \ Sheep and lambs inventory (number)",773
"02010","02","010","Alaska\Aleutian Islands","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"02020","02","020","Alaska\Anchorage","Livestock and poultry \ Sheep and lambs inventory (number)",326
"02090","02","090","Alaska\Fairbanks","Livestock and poultry \ Sheep and lambs inventory (number)",216
"02110","02","110","Alaska\Juneau","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"02122","02","122","Alaska\Kenai Peninsula","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"04000","04","000","Arizona","Livestock and poultry \ Sheep and lambs inventory (number)",180551
"04001","04","001","Arizona\Apache","Livestock and poultry \ Sheep and lambs inventory (number)",63942
"04003","04","003","Arizona\Cochise","Livestock and poultry \ Sheep and lambs inventory (number)",4000
"04005","04","005","Arizona\Coconino","Livestock and poultry \ Sheep and lambs inventory (number)",46864
"04007","04","007","Arizona\Gila","Livestock and poultry \ Sheep and lambs inventory (number)",485
"04009","04","009","Arizona\Graham","Livestock and poultry \ Sheep and lambs inventory (number)",177
"04011","04","011","Arizona\Greenlee","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"04012","04","012","Arizona\La Paz","Livestock and poultry \ Sheep and lambs inventory (number)",54
"04013","04","013","Arizona\Maricopa","Livestock and poultry \ Sheep and lambs inventory (number)",3121
"04015","04","015","Arizona\Mohave","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
"04017","04","017","Arizona\Navajo","Livestock and poultry \ Sheep and lambs inventory (number)",39983
"04019","04","019","Arizona\Pima","Livestock and poultry \ Sheep and lambs inventory (number)",570
"04021","04","021","Arizona\Pinal","Livestock and poultry \ Sheep and lambs inventory (number)",3318
"04023","04","023","Arizona\Santa Cruz","Livestock and poultry \ Sheep and lambs inventory (number)",85
"04025","04","025","Arizona\Yavapai","Livestock and poultry \ Sheep and lambs inventory (number)",590
"04027","04","027","Arizona\Yuma","Livestock and poultry \ Sheep and lambs inventory (number)","(D)"
